placement,size,bandwidth_MBps,cluster,source
diff_socket_same_node,256,7012.62,aion,local
diff_socket_same_node,512,12532.84,aion,local
diff_socket_same_node,1024,20273.38,aion,local
diff_socket_same_node,2048,28646.65,aion,local
diff_socket_same_node,4096,29556.04,aion,local
diff_socket_same_node,8192,30428.15,aion,local
diff_socket_same_node,16384,33276.75,aion,local
diff_socket_same_node,32768,34515.0,aion,local
diff_socket_same_node,65536,35606.17,aion,local
diff_socket_same_node,131072,14736.57,aion,local
diff_socket_same_node,262144,7175.63,aion,local
diff_socket_same_node,524288,7139.29,aion,local
diff_socket_same_node,1048576,7060.73,aion,local
inter_node,1,3.77,aion,local
inter_node,2,7.55,aion,local
inter_node,4,15.07,aion,local
inter_node,8,30.22,aion,local
inter_node,16,60.54,aion,local
inter_node,32,122.07,aion,local
inter_node,64,242.58,aion,local
inter_node,128,426.85,aion,local
inter_node,256,819.07,aion,local
inter_node,512,1419.1,aion,local
inter_node,1024,3275.37,aion,local
inter_node,2048,6422.59,aion,local
inter_node,4096,9941.41,aion,local
inter_node,8192,11065.54,aion,local
inter_node,16384,11697.04,aion,local
inter_node,32768,11990.74,aion,local
inter_node,65536,12156.54,aion,local
inter_node,131072,12254.75,aion,local
inter_node,262144,12300.09,aion,local
inter_node,524288,12323.25,aion,local
inter_node,1048576,12334.21,aion,local
same_numa,1,24.3,iris,easybuild
same_numa,2,45.85,iris,easybuild
same_numa,4,91.42,iris,easybuild
same_numa,8,191.76,iris,easybuild
same_numa,16,379.86,iris,easybuild
same_numa,32,776.04,iris,easybuild
same_numa,64,1627.47,iris,easybuild
same_numa,128,3077.31,iris,easybuild
same_numa,256,5886.17,iris,easybuild
same_numa,512,9547.73,iris,easybuild
same_numa,1024,14956.68,iris,easybuild
same_numa,2048,15551.82,iris,easybuild
same_numa,4096,11693.96,iris,easybuild
same_numa,8192,12611.73,iris,easybuild
same_numa,16384,14260.76,iris,easybuild
same_numa,32768,14682.53,iris,easybuild
same_numa,65536,14952.83,iris,easybuild
same_numa,131072,14981.57,iris,easybuild
same_numa,262144,10789.19,iris,easybuild
same_numa,524288,4641.5,iris,easybuild
same_numa,1048576,4602.24,iris,easybuild
diff_numa_same_socket,1,25.18,iris,easybuild
diff_numa_same_socket,2,50.32,iris,easybuild
diff_numa_same_socket,4,98.35,iris,easybuild
diff_numa_same_socket,8,204.91,iris,easybuild
diff_numa_same_socket,16,385.46,iris,easybuild
diff_numa_same_socket,32,814.77,iris,easybuild
diff_numa_same_socket,64,1546.7,iris,easybuild
diff_numa_same_socket,128,3027.52,iris,easybuild
diff_numa_same_socket,256,5830.68,iris,easybuild
diff_numa_same_socket,512,9618.19,iris,easybuild
diff_numa_same_socket,1024,15407.39,iris,easybuild
diff_numa_same_socket,2048,16253.45,iris,easybuild
diff_numa_same_socket,4096,12055.62,iris,easybuild
diff_numa_same_socket,8192,12837.26,iris,easybuild
diff_numa_same_socket,16384,14669.96,iris,easybuild
diff_numa_same_socket,32768,15093.42,iris,easybuild
diff_numa_same_socket,65536,15233.61,iris,easybuild
diff_numa_same_socket,131072,15317.18,iris,easybuild
diff_numa_same_socket,262144,9920.44,iris,easybuild
diff_numa_same_socket,524288,4217.33,iris,easybuild
diff_numa_same_socket,1048576,4189.96,iris,easybuild
diff_socket_same_node,1,24.72,iris,easybuild
diff_socket_same_node,2,48.99,iris,easybuild
diff_socket_same_node,4,95.53,iris,easybuild
diff_socket_same_node,8,200.67,iris,easybuild
diff_socket_same_node,16,399.28,iris,easybuild
diff_socket_same_node,32,817.37,iris,easybuild
diff_socket_same_node,64,1620.62,iris,easybuild
diff_socket_same_node,128,2975.35,iris,easybuild
diff_socket_same_node,256,5951.7,iris,easybuild
diff_socket_same_node,512,9708.4,iris,easybuild
diff_socket_same_node,1024,15470.57,iris,easybuild
diff_socket_same_node,2048,15366.84,iris,easybuild
diff_socket_same_node,4096,12194.25,iris,easybuild
diff_socket_same_node,8192,12786.49,iris,easybuild
diff_socket_same_node,16384,14496.8,iris,easybuild
diff_socket_same_node,32768,15030.13,iris,easybuild
diff_socket_same_node,65536,15199.89,iris,easybuild
diff_socket_same_node,131072,15215.86,iris,easybuild
diff_socket_same_node,262144,9949.12,iris,easybuild
diff_socket_same_node,524288,4216.6,iris,easybuild
diff_socket_same_node,1048576,4199.34,iris,easybuild
inter_node,1,5.22,iris,easybuild
inter_node,2,13.6,iris,easybuild
inter_node,4,27.08,iris,easybuild
inter_node,8,53.11,iris,easybuild
inter_node,16,103.24,iris,easybuild
inter_node,32,212.23,iris,easybuild
inter_node,64,440.66,iris,easybuild
inter_node,128,736.92,iris,easybuild
inter_node,256,1370.13,iris,easybuild
inter_node,512,2601.36,iris,easybuild
inter_node,1024,4426.53,iris,easybuild
inter_node,2048,6370.74,iris,easybuild
inter_node,4096,9069.2,iris,easybuild
inter_node,8192,9755.63,iris,easybuild
inter_node,16384,10539.5,iris,easybuild
inter_node,32768,11268.93,iris,easybuild
inter_node,65536,11655.94,iris,easybuild
inter_node,131072,11858.69,iris,easybuild
inter_node,262144,11991.38,iris,easybuild
inter_node,524288,12081.1,iris,easybuild
inter_node,1048576,12121.27,iris,easybuild
same_numa,1,21.72,iris,eessi
same_numa,2,44.16,iris,eessi
same_numa,4,90.77,iris,eessi
same_numa,8,184.64,iris,eessi
same_numa,16,357.95,iris,eessi
same_numa,32,718.27,iris,eessi
same_numa,64,1404.77,iris,eessi
same_numa,128,2630.92,iris,eessi
same_numa,256,5082.37,iris,eessi
same_numa,512,8416.24,iris,eessi
same_numa,1024,13701.46,iris,eessi
same_numa,2048,13751.22,iris,eessi
same_numa,4096,11418.73,iris,eessi
same_numa,8192,12152.4,iris,eessi
same_numa,16384,13524.71,iris,eessi
same_numa,32768,14752.89,iris,eessi
same_numa,65536,14834.68,iris,eessi
same_numa,131072,14960.47,iris,eessi
same_numa,262144,11237.42,iris,eessi
same_numa,524288,4652.29,iris,eessi
same_numa,1048576,4617.88,iris,eessi
diff_numa_same_socket,1,24.02,iris,eessi
diff_numa_same_socket,2,48.91,iris,eessi
diff_numa_same_socket,4,100.09,iris,eessi
diff_numa_same_socket,8,200.37,iris,eessi
diff_numa_same_socket,16,376.21,iris,eessi
diff_numa_same_socket,32,747.73,iris,eessi
diff_numa_same_socket,64,1537.51,iris,eessi
diff_numa_same_socket,128,2882.21,iris,eessi
diff_numa_same_socket,256,5839.79,iris,eessi
diff_numa_same_socket,512,9598.92,iris,eessi
diff_numa_same_socket,1024,15300.53,iris,eessi
diff_numa_same_socket,2048,15300.52,iris,eessi
diff_numa_same_socket,4096,12273.79,iris,eessi
diff_numa_same_socket,8192,13006.2,iris,eessi
diff_numa_same_socket,16384,14531.86,iris,eessi
diff_numa_same_socket,32768,15027.32,iris,eessi
diff_numa_same_socket,65536,15253.29,iris,eessi
diff_numa_same_socket,131072,15260.65,iris,eessi
diff_numa_same_socket,262144,9879.13,iris,eessi
diff_numa_same_socket,524288,4230.43,iris,eessi
diff_numa_same_socket,1048576,4212.45,iris,eessi
diff_socket_same_node,1,24.37,iris,eessi
diff_socket_same_node,2,49.71,iris,eessi
diff_socket_same_node,4,99.99,iris,eessi
diff_socket_same_node,8,200.35,iris,eessi
diff_socket_same_node,16,394.24,iris,eessi
diff_socket_same_node,32,796.56,iris,eessi
diff_socket_same_node,64,1508.36,iris,eessi
diff_socket_same_node,128,2864.63,iris,eessi
diff_socket_same_node,256,5966.54,iris,eessi
diff_socket_same_node,512,9394.64,iris,eessi
diff_socket_same_node,1024,15345.25,iris,eessi
diff_socket_same_node,2048,15842.0,iris,eessi
diff_socket_same_node,4096,12253.21,iris,eessi
diff_socket_same_node,8192,12972.31,iris,eessi
diff_socket_same_node,16384,14622.38,iris,eessi
diff_socket_same_node,32768,15074.52,iris,eessi
diff_socket_same_node,65536,15245.03,iris,eessi
diff_socket_same_node,131072,15302.65,iris,eessi
diff_socket_same_node,262144,10425.17,iris,eessi
diff_socket_same_node,524288,4226.6,iris,eessi
diff_socket_same_node,1048576,4214.56,iris,eessi
inter_node,1,6.84,iris,eessi
inter_node,2,13.91,iris,eessi
inter_node,4,27.24,iris,eessi
inter_node,8,53.48,iris,eessi
inter_node,16,108.66,iris,eessi
inter_node,32,215.33,iris,eessi
inter_node,64,434.25,iris,eessi
inter_node,128,746.62,iris,eessi
inter_node,256,1432.54,iris,eessi
inter_node,512,2660.25,iris,eessi
inter_node,1024,4499.21,iris,eessi
inter_node,2048,6358.11,iris,eessi
inter_node,4096,9049.06,iris,eessi
inter_node,8192,9791.45,iris,eessi
inter_node,16384,10591.64,iris,eessi
inter_node,32768,11291.96,iris,eessi
inter_node,65536,11673.15,iris,eessi
inter_node,131072,11892.31,iris,eessi
inter_node,262144,11996.82,iris,eessi
inter_node,524288,12073.61,iris,eessi
inter_node,1048576,12119.47,iris,eessi
same_numa,1,24.04,iris,local
same_numa,2,47.01,iris,local
same_numa,4,92.63,iris,local
same_numa,8,188.15,iris,local
same_numa,16,369.83,iris,local
same_numa,32,727.21,iris,local
same_numa,64,1495.38,iris,local
same_numa,128,2913.92,iris,local
same_numa,256,5359.27,iris,local
same_numa,512,8847.3,iris,local
same_numa,1024,14909.44,iris,local
same_numa,2048,16618.04,iris,local
same_numa,4096,11968.44,iris,local
same_numa,8192,12443.92,iris,local
same_numa,16384,14384.8,iris,local
same_numa,32768,14720.23,iris,local
same_numa,65536,14869.01,iris,local
same_numa,131072,14962.42,iris,local
same_numa,262144,11852.31,iris,local
